source_node_id,target_node_id
190,186
32,210
163,242
9,11
257,13
184,173
173,139
103,202
154,283
161,254
104,307
269,254
241,24
310,234
269,241
269,14
32,266
9,307
269,23
53,142
103,16
240,295
45,144
103,244
110,190
116,173
103,264
250,32
19,291
49,23
250,205
110,170
110,300
217,180
154,117
95,307
9,306
269,183
269,197
8,86
103,201
34,15
45,313
130,236
198,25
179,55
217,263
45,63
78,185
269,213
103,242
269,179
86,127
163,25
184,21
151,209
149,106
250,291
190,234
280,218
5,278
240,289
95,96
68,209
302,200
269,209
132,16
269,163
250,306
95,229
103,204
160,18
32,215
128,7
165,17
190,200
226,90
161,209
269,226
110,137
116,215
269,256
103,93
223,310
272,205
110,299
269,18
103,256
88,203
42,315
146,21
255,7
161,273
61,303
223,288
103,10
109,229
116,232
223,237
27,202
269,111
190,218
103,0
190,282
75,101
134,216
194,47
241,239
32,232
190,302
116,201
103,230
122,34
257,217
232,215
5,261
161,18
95,106
190,177
202,139
263,2
269,173
75,108
87,276
47,239
223,307
103,245
269,268
51,18
220,203
311,227
9,190
241,254
103,213
99,191
8,218
310,307
269,245
47,265
103,197
103,274
194,239
269,264
103,33
75,77
250,69
136,11
83,185
161,241
75,218
190,217
250,304
278,82
317,254
175,214
154,268
156,229
179,251
269,232
257,302
8,267
247,16
272,52
5,16
157,116
95,16
36,207
103,229
190,237
232,239
269,236
160,201
301,227
103,12
238,115
269,244
51,264
205,284
120,309
32,239
47,244
269,52
110,305
301,6
36,206
269,202
269,274
190,272
232,18
311,119
103,18
103,210
288,310
269,0
32,161
103,265
212,244
103,235
302,181
61,214
55,287
269,220
190,181
179,15
95,316
198,199
190,173
160,239
272,305
103,260
220,243
32,116
179,139
269,215
147,83
5,202
147,78
152,309
269,10
95,69
112,304
259,129
103,273
257,193
269,212
257,7
173,317
39,304
75,267
161,239
269,216
209,68
97,308
269,265
190,225
179,219
103,23
184,231
151,201
128,186
95,88
179,178
194,60
151,239
103,314
103,15
156,139
179,10
272,304
217,139
95,38
5,228
5,139
122,24
126,28
32,241
176,306
260,28
95,32
269,235
116,196
269,51
9,38
241,93
190,176
55,82
269,242
263,94
103,56
161,237
34,24
269,207
103,283
292,306
106,109
232,173
269,201
103,278
184,199
52,225
152,304
163,199
257,226
103,212
250,38
232,255
95,108
151,265
146,63
32,201
103,207
95,159
232,210
95,97
103,225
160,265
75,17
269,285
160,93
161,215
9,205
180,4
269,93
163,198
283,117
7,90
42,63
269,12
217,63
269,273
110,29
95,305
85,29
190,266
128,197
269,204
306,284
99,276
263,231
232,40
190,252
269,15
160,7
255,12
269,260
190,174
260,134
108,218
179,159
9,3
95,109
156,249
269,239
95,45
160,147
103,53
250,293
102,78
269,33
103,216
217,309
262,52
95,98
238,36
67,244
232,32
95,149
51,0
257,185
269,16
116,238
223,277
241,226
8,99
52,246
317,70
95,52
269,238
250,3
75,99
95,306
13,217
77,86
250,223
302,87
205,196
217,251
95,128
265,90
270,23
103,14
269,229
195,174
103,52
247,229
250,307
103,215
