A,B,result,RefD
machine learning resources,sequence classification and conditional random fields,1,-0.459167196
graph convolutional networks,handwriting recognition,0,-0.202891155
semi supervised learning,discourse parsing,0,0.207227772178377
evaluation of information retrieval,graphical models,0,0.119556504987992
structured learning,recommendation system,1,0.0644848461214425
kernel function,Gaussian graphical models,0,0.0
machine translation,noisy channel model,1,-0.276623351
summarization evaluation,generative adversarial networks,0,0.0230254376238204
evaluation of dependency parsing,language modeling,0,0.321601793611829
toolkits for information retrieval,Naive Bayes,0,0.068248521255687
search engines,others,0,0.0
Markov chains,Variations of GANs,0,-0.022089379
calculus,harmonic functions,1,-0.127253495
random walks and harmonic functions,semi-supervised learning,1,-0.016461956
Belief Propagation,reading comprehension,0,0.0
deep learning introduction,word embedding,1,-0.313378281
memory networks,pointer networks,0,-0.171160428
word embedding,syntaxnet,1,0.281291877842144
linguistics basics,penn treebank,1,0.0196520173654443
graph-based nlp,tsne,0,0.0441425574469206
logic and reasoning,knowledge representation,1,-0.033358221
vector semantics,word sense disambiguation,1,0.104760051281974
feature learning,Manifold Learning,1,-0.021414831
predicate logic,probabilities,0,-0.019101576
theory of computation,Meta-Learning,0,0.0
natural language processing intro,word sense disambiguation,1,-0.095908764
semantic similarity,thesaurus-based similarity,1,-0.399714843
Principal Component Analysis,matrix factorization,1,0.0203415648130774
natural language processing intro,semantic similarity,1,-0.099116992
generative and discriminative models,course introduction,0,0.0
natural language processing intro,dialog systems,1,-0.16806249
structured learning,linear discriminant analysis,1,0.592143428101011
chinese nlp,course introduction,0,0.0
computational phonology,reading comprehension,0,-0.049324977
calculus,Manifold Learning,1,-0.010076973
text similarity,tsne,0,0.0277002411098303
natural language processing intro,semantic parsing,1,-0.063649613
discourse analysis,nn sequence parsing,0,-0.062867746
Canonical Correlation Analysis,question answering,0,-0.027380792
latent variable models,speech signal analysis,0,0.0351317587505186
discourse analysis,discourse parsing,1,0.0033415499851501
linguistics basics,cky parsing,1,-0.028005094
text generation,computational phonology,0,0.0
capsule networks,KKT conditions,0,0.0
semantic similarity,language identification,0,-0.136378759
natural language processing intro,first order logic,0,-0.008167343
latent semantic indexing,Variable Elimination,0,0.0
bootstrapping,machine translation techniques,0,0.0076344656343058
structured learning,language identification,0,0.0
tokenization,syntax,0,0.0
State Space Models,Message Passing,0,0.0
graphical models,Mean Field Approximation,1,-0.040949406
question answering,evaluation of question answering,1,0.0
linguistics basics,query expansion,1,-0.053802855
optimization,machine learning resources,1,-0.020281247
vector representations,vector semantics,0,-0.105390624
Kernel Graphical Models,Canonical Correlation Analysis,0,0.0198702271016603
word distributions,word embedding,1,0.142628774865812
linguistics basics,grammar checker,1,-0.02960337
deep Q-network,computational phonology,0,0.0
image retrieval,Mixture Models,0,0.0
nlp for databases,machine translation techniques,0,0.0060023301719828
linear algebra,structured learning,1,-0.011603857
