source_node_id,target_node_id
58,102
347,9
241,47
267,203
23,80
113,367
164,223
10,363
112,8
286,354
43,5
158,8
164,383
2,200
187,177
21,70
50,354
23,177
102,272
343,365
48,327
55,56
112,2
31,27
196,88
251,5
65,223
293,356
145,327
171,114
74,114
172,288
1,327
230,223
72,392
244,27
160,138
177,165
20,353
251,380
337,3
123,115
82,68
113,115
43,383
3,380
211,363
112,77
187,13
7,327
62,80
94,367
25,356
305,8
144,327
34,181
64,40
8,175
274,399
115,8
84,8
225,19
15,115
38,369
144,355
246,236
138,270
67,327
63,386
68,27
116,8
23,223
11,386
93,223
188,177
3,327
134,363
225,8
185,12
134,200
65,380
251,363
16,52
118,13
124,19
121,5
169,380
154,354
181,363
24,19
205,177
90,8
268,272
10,115
343,114
171,8
76,59
2,3
225,296
27,355
302,13
112,19
54,353
138,288
82,94
129,236
195,380
41,386
78,70
107,181
299,386
35,363
94,223
196,325
210,223
58,28
181,353
84,3
109,63
208,80
54,177
117,180
319,353
176,27
112,365
58,44
31,386
273,61
115,165
68,115
226,70
311,363
138,327
145,27
102,175
86,363
174,3
0,365
192,382
161,372
187,8
232,236
82,270
234,327
50,13
155,223
208,70
286,8
244,365
135,27
160,56
220,27
32,380
130,223
193,80
25,62
93,357
10,62
52,357
50,228
257,288
193,97
214,13
157,353
13,70
24,177
336,13
54,365
139,353
79,13
296,327
142,68
58,94
31,365
296,383
70,44
167,373
33,118
4,8
37,168
218,236
245,3
258,181
240,80
13,94
82,223
178,69
41,223
76,327
8,272
78,8
337,8
322,5
34,353
349,279
180,175
169,70
102,351
313,376
184,88
126,8
145,361
233,27
1,288
145,181
135,380
279,353
160,223
138,94
149,44
143,115
301,13
72,138
26,168
244,386
43,384
68,223
254,85
60,383
186,325
335,80
253,181
147,9
174,367
229,8
8,363
331,311
38,8
79,3
231,103
34,374
55,353
40,356
215,13
95,27
31,177
121,80
246,288
21,168
337,236
161,399
116,236
148,12
337,80
233,304
208,175
312,8
3,168
148,80
342,8
10,223
13,365
146,223
195,70
288,327
111,361
262,8
33,223
290,63
245,85
118,355
243,102
25,353
35,177
103,370
9,223
47,327
147,353
252,168
246,168
206,272
37,8
38,35
15,339
55,175
342,69
65,70
9,90
36,97
309,236
171,327
77,10
180,223
201,327
136,44
278,357
101,327
26,3
59,365
8,383
24,353
200,3
228,383
105,19
102,354
91,70
109,223
178,288
90,353
63,27
121,70
180,353
49,279
334,120
67,3
145,296
226,8
155,386
319,8
24,118
76,44
225,102
107,8
270,61
290,8
311,80
244,383
65,80
171,359
155,69
59,236
117,41
254,168
9,236
261,80
91,367
13,270
59,354
17,177
94,365
3,8
72,13
43,367
104,327
65,270
3,355
64,8
45,353
167,91
121,367
54,288
10,328
265,327
174,168
9,3
171,363
45,175
24,384
41,175
137,369
21,236
31,102
161,94
291,5
187,182
145,359
25,13
285,367
135,365
161,177
306,78
346,13
24,175
148,90
85,363
78,35
113,168
296,356
322,80
312,35
200,380
174,327
99,56
24,356
336,383
278,223
144,70
23,168
114,5
316,120
111,13
138,236
69,353
301,177
123,188
229,223
1,354
233,183
148,378
10,380
131,327
177,175
111,374
27,5
55,375
174,177
138,386
54,223
188,327
208,19
