A,B,result
User interface,Arithmetic,1
Digital signature,Foundations of mathematics,1
Computer multitasking,Expert system,0
Numerical analysis,Discrete mathematics,1
Speech recognition,Graph theory,1
Modular arithmetic,Mathematical proof,1
Tensor,Rendering (computer graphics),0
Computer vision,Algorithm design,1
Gradient descent,Logic,1
Index (database),Algorithm,1
Hidden Markov model,Computer programming,1
Economics,Turing machine,0
Formal language,Artificial intelligence,0
Regular language,Finite-state machine,1
C++,Robotics,0
Mathematical optimization,Mathematical induction,1
Linear system,Mobile device,0
Network security,Mathematics,1
Machine translation,Computer science,1
Object-oriented programming,Data structure,1
3D modeling,Big data,0
Computer architecture,Asymptotic analysis,0
Machine learning,Probability theory,1
Partial differential equation,Design of experiments,0
Python (programming language),Design pattern (computer science),1
Robot,Program optimization,0
Computer security,Number theory,1
Computational complexity theory,Complexity,1
Markov chain,Conditional probability,1
Estimation theory,Formal verification,0
Calculus of variations,Continuous function,1
Formal methods,Problem solving,0
Integer,Random walk,0
hypothesis testing,Interpolation,0
Computing,Social network,0
Software design,Computer,1
Computer software,Operating system,1
Tensor,Computer graphics,0
Object (computer science),Logic,1
Estimation theory,Memory management,0
Estimation theory,Prediction,0
Query language,Data structure,1
Message Passing Interface,Vulnerability (computing),0
Abstraction (computer science),Monte Carlo method,0
Sufficient statistic,Finite-state machine,0
C++,Database transaction,0
Probability,Parametric polymorphism,0
Computational geometry,Analysis of algorithms,1
Lazy evaluation,Finite element method,0
Cluster analysis,Message passing,0
Database system,Geometry,0
Software engineering,Combinatorics,1
User interface design,Computational science,0
Computer animation,Computer programming,1
Cluster analysis,Discrete mathematics,1
Software development,Discrete mathematics,1
Control flow,Sentiment analysis,0
Virtual memory,Computer science,1
Instruction set,Ray tracing (graphics),0
Scripting language,Programming language,1
SQL,Computational complexity theory,1
Theory of computation,Programming paradigm,0
Hidden Markov model,Conditional probability,1
Flow network,Computer multitasking,0
Computability,Computer,1
Game theory,Algebra,1
Analysis of algorithms,Computational science,1
Regular expression,Iterative method,0
Procedural programming,Robot,0
Queue (data structure),Graphics,0
Geometric modeling,Geometry,0
Divide and conquer algorithm,Finite difference,0
Digital signature,Algorithm,1
String searching algorithm,Combinatorics,1
Integral,Randomization,0
Newton's method,Pushdown automata,0
Support vector machine,Algorithm,1
Computer simulation,User interface design,0
Distributed computing,GPU,0
Interaction design,User interface,1
Modular programming,Economics,0
Algorithm,Eigenvalues and eigenvectors,0
Assembly language,Syntax,1
Programming paradigm,Monte Carlo method,0
Polynomial,Shading,0
Recursion,Parsing,0
Natural language processing,Algorithm,1
Lisp (programming language),Scope (computer science),1
Software development,Data (computing),1
Mathematical induction,Probability theory,0
Information assurance,Abstract data type,0
Array data structure,Data,1
Speech recognition,Symmetric multiprocessing,0
NP (complexity),Lisp (programming language),0
Shading,Formal verification,0
Approximation algorithm,Linear algebra,1
Graphical model,Predicate logic,0
Scalability,Transaction processing,0
Cryptography,Integer,1
Computability,Computation,0
Program optimization,Mathematics,1
Run time (program lifecycle phase),Computer science,1
Semantics,Database design,0
Internet Protocol Suite,Graph theory,0
Cryptography,Graph theory,1
hypothesis testing,Statistical inference,1
Computer graphics,Data,1
Database,Data type,1
Question answering,Dynamic programming,0
Sentiment analysis,Theoretical computer science,0
Programming language,Computational complexity theory,1
Profiling (computer programming),Computability,1
Programming paradigm,Semantics of programming languages,0
Compiler optimization,Motion planning,0
Computer programming,Computational science,1
Model of computation,Complexity,1
Data mining,Object (computer science),1
Computer vision,Arithmetic,1
Feature extraction,Discrete mathematics,1
NP (complexity),Number theory,1
Graphical model,Probability,1
Network security,Tensor,0
Profiling (computer programming),Mathematics,1
Distributed computing,Arithmetic,1
NP (complexity),Run time (program lifecycle phase),0
Programming style,Computational complexity theory,1
Fast Fourier transform,Problem solving,1
Natural language processing,Mathematics,1
Prolog,String searching algorithm,0
Graphics,Propositional calculus,0
Hidden line removal,Program optimization,0
Microcode,Communication,0
Numerical analysis,Mathematics,1
Lisp (programming language),Data warehouse,0
Introduction to Algorithms,Computer animation,0
Computational geometry,Digital electronics,1
Public-key cryptography,Theoretical computer science,1
Document classification,Foundations of mathematics,1
Asymptotic analysis,Cryptographic hash function,0
Computer vision,Programming language,1
Computer architecture,Fourier analysis,0
Instruction set,Pattern matching,0
ML (programming language),Queue (data structure),0
Computer graphics,Arithmetic,1
Genetic algorithm,Theoretical computer science,1
C (programming language),Algorithm,1
C (programming language),NP (complexity),0
GPU,Mathematical induction,0
Index (database),Data (computing),1
Inheritance (object-oriented programming),Object-oriented programming,1
Model checking,Combinatorics,1
Cloud computing,NP-complete,0
Mathematical induction,Mathematics,1
Information theory,Probability theory,1
Transaction processing,Computer science,1
Graph coloring,Algorithm design,1
Superscalar,Multi-core processor,1
Time complexity,Complexity,1
Arithmetic logic unit,Formal methods,0
Data structure,Number theory,1
Database management system,Foundations of mathematics,1
Signal processing,Sparse matrix,0
Undecidable problem,Combinatorics,1
Software framework,Algorithm,1
Suffix tree,Automated theorem proving,0
Model checking,Graph theory,1
Computational complexity theory,Mathematical induction,1
Web service,Communications protocol,1
Entropy,Data structure,0
Message Passing Interface,Inter-process communication,1
Asymptotic analysis,Mathematical model,0
Random graph,Cryptographic hash function,0
Design pattern (computer science),Computational geometry,0
Assembly language,Instruction set,1
Image analysis,Graphical model,0
Scientific visualization,Interactivity,0
Formal language,Discrete mathematics,1
Scheduling (computing),Central processing unit,1
Java (programming language),Monad (functional programming),0
Monad (functional programming),Computation,1
Numerical analysis,Computational complexity theory,0
Digital signature,Abstraction (computer science),1
Database transaction,Context-free language,0
Economics,High-level programming language,0
Synchronization,Personal computer,0
Programming style,hypothesis testing,0
Interaction design,Graphics,0
Semidefinite programming,World Wide Web,0
Malware,Symmetric multiprocessing,0
Atomicity (database systems),Algorithm design,1
Round-off error,Scripting language,0
Variable (computer science),Recursively enumerable set,0
Web server,Inter-process communication,0
Context-free grammar,Computer programming,1
Memory hierarchy,System programming,0
Mathematical model,Mathematics,1
Statistics,Foundations of mathematics,1
Feature extraction,Iterative method,1
Distributed computing,Computational problem,1
Partial differential equation,Matrix (mathematics),1
Internet Protocol Suite,Computer science,1
Software development,Software engineering,1
Compiler,Computer architecture,1
Inter-process communication,Deadlock,0
Distributed computing,Polynomial,1
Database system,Transaction processing,0
Relational model,Database normalization,0
Sentiment analysis,Computer science,1
Computer software,Input/output,1
Distributed computing,Digital electronics,0
Imperative programming,Computer,1
Linear algebra,Rendering (computer graphics),0
Finite difference,Nonlinear system,1
Analysis of algorithms,Computer,1
Shading,Higher-order function,0
Operating system,Algorithm,1
Kernel (computing),Semantics of programming languages,0
Round-off error,Graph theory,0
Automated theorem proving,Mathematical induction,1
Computational geometry,Polynomial,1
Regular expression,Cache coherence,0
Profiling (computer programming),Algorithm,1
B-tree,Discrete mathematics,1
Abstraction (computer science),Artificial intelligence,0
Theoretical computer science,List of undecidable problems,0
Kernel (computing),Operating system,1
3D computer graphics,Economics,0
Database transaction,Superscalar,0
Mathematics,Data,0
Communications protocol,Data warehouse,0
Database management system,Object (computer science),1
Cryptography,Algebra,1
Algorithm,Foundations of mathematics,1
Foundations of mathematics,Polynomial,0
Hidden Markov model,Software design,0
Nonlinear system,Cryptanalysis,0
Symmetric multiprocessing,Approximation algorithm,0
Semantics,Automata theory,0
Automated planning and scheduling,Monte Carlo method,0
Context-free language,Recursively enumerable set,0
Random variable,Functional programming,0
Computer animation,Algorithm design,1
Computational geometry,Computer graphics,1
Estimation theory,Random variable,1
Object-oriented programming,Data,1
Compiler optimization,Scientific visualization,0
Parametric polymorphism,Computability,1
Software framework,Iterative method,0
String searching algorithm,Computer,1
Interaction design,3D modeling,0
Network security,Index (database),0
Graphical user interface,Theory of computation,0
Artificial intelligence,Data structure,1
Inequality (mathematics),Foundations of mathematics,1
Logic programming,Computational complexity theory,1
Relational database,Social network,0
Robotics,Reason,1
Computer graphics,Analysis of algorithms,1
Linked list,Foundations of mathematics,1
Malware,Mathematics,1
Programming language,Probability,0
Markov process,Atomicity (database systems),0
Scientific modelling,Martingale (probability theory),0
Graph (mathematics),Vector processor,0
Shading,Complexity,0
Robotics,Mathematical induction,1
Internet,Structured programming,0
Very long instruction word,Graphics,0
C (programming language),Vector processor,0
Firewall (computing),Atomicity (database systems),0
Routing,OSI model,1
Bioinformatics,Computation,1
Natural language,Modular arithmetic,0
Microcode,Database management system,0
Software design,Microcode,0
B-tree,Mathematics,1
Stochastic process,Foundations of mathematics,0
Relational database,Computational complexity theory,1
hypothesis testing,Probability theory,0
NP-complete,Foundations of mathematics,1
Vector processor,Support vector machine,0
Recursion,Algorithm,1
Haskell (programming language),Algorithm,1
Inheritance (object-oriented programming),Data,1
SQL,Kalman filter,0
Lazy evaluation,Web service,0
Inference,Mathematics,1
Web server,Computing,1
Randomization,Server (computing),0
Visualization (computer graphics),Algorithm,1
C++,Unix,0
World Wide Web,Digital electronics,1
Java (programming language),Computer science,1
Finite difference,Ordinary differential equation,1
Unsupervised learning,Geometry,0
Bayesian network,Multi-core processor,0
Cryptography,Economics,0
Recommender system,Statistical inference,1
Recommender system,Statistics,1
Game theory,Mathematical optimization,1
Object (computer science),Software design,0
Sentiment analysis,Bayesian network,0
Personal computer,PSPACE,0
Time complexity,Iterative method,1
Recurrence relation,Theoretical computer science,1
Internet,Modular programming,0
String searching algorithm,Polynomial,1
Computational geometry,Graph theory,1
System call,Finite element method,0
Stochastic,Cluster analysis,0
Coding theory,GPU,0
Cache coherence,Lock (computer science),1
Web service,Variable (computer science),0
Natural language processing,Graph theory,1
Deadlock,Central processing unit,1
Exponential family,Graph theory,0
Computer vision,Geometry,1
Syntax,Wavelet,0
Program optimization,Spanning tree,0
Very long instruction word,Database management system,0
