A,B,result,RefD
Cryptography,Probability_theory,1,-0.237023757
Cryptography,Information_security,1,-0.08531737
Peer-to-peer,CPU_cache,0,-0.006346019
Concurrent_computing,Computer,1,-0.001266884
Concurrency_control,Computer_programming,1,0.07053888
Fast_Fourier_transform,Signal_processing,1,0.011675276
Java_(programming_language),Software_engineering,0,-0.046509878
Analysis_of_algorithms,Mathematics,1,0.093880585
Large_deviations_theory,Wavelet,0,0.028335759
Object-oriented_programming,Programming_language,1,0.001485767
Perl,Computer,1,0.009720693
Superscalar,Computer_architecture,1,0.388591699
Coding_theory,Theoretical_computer_science,1,-0.019281701
Database_transaction,Round-off_error,0,0
System_programming,Computer_programming,1,0.117842507
Numerical_analysis,Approximation,1,-0.107883597
Random_variable,Fourier_analysis,0,0.394603753
Cloud_computing,Vector_processor,0,-0.031811303
Unsupervised_learning,Machine_learning,1,0.42554722
Database_normalization,Java_(programming_language),0,0.048732509
Multi-core_processor,Central_processing_unit,1,0.226292376
System_programming,Probability,0,0.035751366
Multiplication,Mathematics,1,0.40696149
Digital_electronics,Network_security,0,0.023224865
Randomized_algorithm,Randomization,1,-0.003882629
Computability,Correlation_and_dependence,0,0
Debugging,Control_flow,1,-0.001097154
Amortized_analysis,Computer_science,1,0.506021372
Analysis_of_algorithms,Probability_theory,1,-0.147258287
Parsing,Python_(programming_language),0,0.117151761
Computer_security,Computer,1,0.028802263
Modular_arithmetic,Cryptographic_hash_function,0,-0.022175695
Robotics,Mechanical_engineering,1,-0.061440194
Python_(programming_language),Object-oriented_programming,1,-0.123728757
Analysis_of_algorithms,Computational_complexity_theory,1,0.229124895
Graphics_processing_unit,Parallel_computing,1,0.138326804
Genetic_algorithm,Theoretical_computer_science,0,-0.016293766
ML_(programming_language),Very_long_instruction_word,0,-0.00409834
Virtual_memory,Computing,1,0.027043076
Finite_difference,Numerical_analysis,1,0.066963425
Computer_vision,Geometry,1,-0.029226341
Input/output,Computational_complexity_theory,0,0.054567442
Pushdown_automaton,Web_service,0,0.009292886
Parametric_polymorphism,Complexity,0,-0.005736983
Computer_graphics,Network_security,0,0.007963879
Query_optimization,Index_(database),1,0.043668058
Variable_(computer_science),Program_optimization,0,-0.029907929
P_versus_NP_problem,Algorithm,1,0.151139688
Firewall_(computing),Functional_programming,0,-0.00646421
Control_flow,Social_network,0,-0.000979617
Internet,Data,0,-0.006528962
Finite_difference,Boundary_value_problem,1,-0.011534555
Software_engineering,Stochastic,0,-0.01207844
Random_walk,Probability_theory,1,0.282278233
Embedded_system,Bioinformatics,0,-0.050690474
Hidden_Markov_model,Automated_theorem_proving,0,0.010288622
Linear_system,Computing,0,-0.002031866
Model_of_computation,Relational_algebra,0,-0.012707729
Network_security,Computer_network,1,0.092730874
Cryptography,Mathematics,1,-0.050884001
Finite_element_method,Numerical_analysis,1,0.205381944
B-tree,3D_computer_graphics,0,0.00425086
Estimation_theory,Statistical_inference,1,0.065567657
Expert_system,Artificial_intelligence,1,0.330293406
Network_security,Security,1,-0.05478427
Cryptography,Algorithm,1,-0.059122177
Complexity,Expert_system,0,-0.001478695
Markov_process,Parallel_algorithm,0,-0.004469201
NP-complete,Machine_translation,0,-0.002315369
Unix,Robot,0,0.002530198
Transaction_processing,Computer_science,1,0.063388109
Software_design,Programming_language,1,-0.126400442
Divide_and_conquer_algorithm,Algorithm_design,1,0.249932844
Graph_theory,Lexical_analysis,0,0.013925314
Lisp_(programming_language),Robot,0,0.001195359
Arithmetic,Queue_(data_structure),0,-0.01620189
Natural_language_processing,Natural_language,1,0.086358982
Data_mining,Artificial_intelligence,1,0.130882324
Computer_science,Computer,1,0.055717655
Introduction_to_Algorithms,Recurrence_relation,0,-0.052771433
Social_network,Graph_theory,1,0.050546029
Semantics,Computer_science,0,0.068944435
Lexical_analysis,Formal_grammar,1,0.114109208
Application_software,Inter-process_communication,0,-0.023632156
Firewall_(computing),Software_testing,0,-0.003409031
Cryptographic_hash_function,Interactivity,0,0
3D_computer_graphics,Compiler_optimization,0,-0.003342518
Artificial_intelligence,Part-of-speech_tagging,0,-0.115895605
Model_of_computation,Computer_science,1,0.377049662
Linear_system,Inheritance_(object-oriented_programming),0,0
Finite-state_machine,Logic,1,0.05891692
Machine_translation,NP_(complexity),0,0
Regular_expression,P_versus_NP_problem,0,0.020268476
C++,Input/output,0,-0.067151212
Cryptanalysis,Database_design,0,0
String_searching_algorithm,Modular_arithmetic,0,0.028131902
Randomized_algorithm,Social_network,0,-0.009437726
Undecidable_problem,Inheritance_(object-oriented_programming),0,-0.034276198
Complexity,Mathematics,1,0.264187683
Virtual_memory,Memory_hierarchy,1,-0.237197976
Mutual_exclusion,Part-of-speech_tagging,0,0
Economics,Procedural_programming,0,0
Formal_language,String_(computer_science),1,-0.064094882
Algorithm,Discrete_mathematics,1,-0.171414973
Database,Data,1,0.000182042
Array_data_structure,Ordinary_differential_equation,0,0.005456993
"Best,_worst_and_average_case",Formal_verification,0,0
Big_data,Programmer,0,-0.012695834
Distributed_computing,Operating_system,1,0.056021102
Knowledge_representation_and_reasoning,Algorithm_design,1,0.241260201
Unix,Graph_theory,0,-0.007310464
Probability,Graph_theory,0,-0.086231142
Mathematical_optimization,Integer,1,0.09349395
Computation,Statistical_inference,0,-0.001483314
Lexical_analysis,Software_framework,0,-0.003728529
Recursively_enumerable_set,Algorithm,1,0.107391639
Uncertainty,Genetic_algorithm,0,0.0063491
Support_vector_machine,Knowledge_representation_and_reasoning,0,-0.014982459
Recursively_enumerable_set,Finite_set,1,0.134214725
Cache_coherence,Theory_of_computation,0,0.003362469
Vector_processor,ML_(programming_language),0,0.005761943
Object-oriented_programming,High-level_programming_language,1,-0.344005351
Functional_programming,Cloud_computing,0,0.008919599
Polynomial,Array_data_structure,0,-0.011960996
Speech_recognition,Artificial_intelligence,1,0.128451866
Quantum_cryptography,Procedural_programming,0,0.002257439
Abstraction_(computer_science),Finite_set,0,0.012604169
Database_design,Relational_database_management_system,0,0.106127216
Scheduling_(computing),Computing,1,0.049213968
Uncertainty,Volume_rendering,0,0.004855866
Cloud_computing,Operating_system,0,0.147818944
Machine_learning,Probability_theory,1,-0.103939185
Big_data,Computer_science,1,0.023579663
Computer_programming,Computational_science,1,-0.025608397
Semantics,Bayesian_network,0,-0.001994178
Perl,Compiler,1,0.094858578
Graph_theory,Discrete_mathematics,1,-0.175981626
Prolog,Parallel_algorithm,0,-0.016737178
Randomness,Pattern_matching,0,0.002743918
Programming_paradigm,High-level_programming_language,0,-0.301615666
Recommender_system,Machine_learning,1,0.096661161
"Best,_worst_and_average_case",Sparse_matrix,0,0.158400038
Expert_system,Uncertainty,0,0.002758565
Computer_programming,Logic,1,0.03524482
Pipeline_(computing),Central_processing_unit,1,0.140414318
Linear_programming,Economics,0,0.037233561
Bioinformatics,Pipeline_(computing),0,-0.005402671
Algorithm,Routing,0,-0.049467124
Iterative_method,Variable_(computer_science),0,0
Martingale_(probability_theory),Probability_theory,1,0.582019312
Object_(computer_science),String_(computer_science),0,0.159885451
Denotational_semantics,Congestion_control,0,0
World_Wide_Web,Computer_simulation,0,-0.048344053
Parallel_computing,Stochastic_process,0,-0.008303767
Ordinary_differential_equation,Public-key_cryptography,0,0.002240086
Concurrency_control,Database_management_system,1,0.424898758
Malware,Finite-state_machine,0,0.003119842
Algebra,Software_framework,0,-0.022408603
High-level_programming_language,Computer_graphics,0,0.051563563
Computer_programming,Relational_model,0,-0.042665013
Stochastic_process,Markov_process,0,-0.140275899
Java_(programming_language),Data_structure,1,-0.160176415
Computer_vision,Computer_programming,1,-0.203812272
Server_(computing),SQL,0,0.005149305
Regular_language,Computability,1,-0.237750513
Malware,Functional_programming,0,-0.010170348
Analysis_of_algorithms,Finite_element_method,0,-0.00175629
Sufficient_statistic,Random_variable,1,-0.23041384
Abstract_data_type,Integer,1,0.08008049
Very_long_instruction_word,Quantum_computer,0,0.420188981
World_Wide_Web,Computer,1,0.002875371
Compiler_optimization,Nonlinear_system,0,0
File_system,Algorithm,0,0.03759614
Finite_difference,Database_design,0,-0.001887402
Computer_architecture,Telecommunications_network,0,-0.005648814
Fixed_point_(mathematics),Mathematics,1,0.479892835
Programming_paradigm,Computer_science,1,0.162697667
Malware,Correlation_and_dependence,0,0
Introduction_to_Algorithms,Vulnerability_(computing),0,0
Profiling_(computer_programming),B-tree,0,0
Assembly_language,Syntax,1,-0.004668137
Logic_programming,Run_time_(program_lifecycle_phase),0,-0.01790366
Database,Integral,0,-0.003163415
Java_(programming_language),Computer_programming,1,-0.084167452
Imperative_programming,Programming_language,1,0.174853293
CPU_cache,Kinematics,0,0
Hidden_line_removal,Algorithm,1,0.12440512
Bayesian_network,Random_variable,1,0.158275416
Machine_learning,Probability,1,0.043967415
Superscalar,Multi-core_processor,1,0.030045544
Spanning_tree,Graph_theory,1,0.326252363
Game_theory,Randomized_algorithm,0,-0.028094076
Compiler_optimization,Assembly_language,1,0.12234722
Software_engineering,Computer_programming,1,-0.210299857
Markov_chain,Web_server,0,0.002451142
Symmetric_multiprocessing,Concurrency_(computer_science),1,0.473966818
Scalability,Software_design,1,0.028256116
Propositional_calculus,Automatic_programming,0,-0.007806597
Distributed_computing,Software_design,0,-0.11024933
Graphical_user_interface,Calculus,0,-0.001963682
Least_squares,Numerical_analysis,1,0.090228379
Vulnerability_(computing),Software_testing,0,-0.010147814
Statistics,User_interface,0,-0.179482268
Artificial_intelligence,Numerical_analysis,1,-0.160438998
Knowledge_representation_and_reasoning,Algorithm,1,0.241260201
JavaScript,Computer,1,-0.014223105
Formal_grammar,String_(computer_science),1,-0.008593954
Algorithm_design,Wavelet,0,-0.027918575
Computational_complexity_theory,Theoretical_computer_science,1,-0.056493803
Divide_and_conquer_algorithm,NP_(complexity),0,0.015873902
Database_management_system,Mutual_exclusion,0,-0.036938538
Data_type,Programming_language,1,0.222071049
Analysis_of_algorithms,Graph_theory,1,-0.066962476
Computer_programming,Computer,1,0.022738801
Speech_recognition,Queue_(data_structure),0,0
Computer_security,Computer_science,1,-0.121486138
Computational_science,Compiler_optimization,0,0.002379004
Natural_language_processing,Machine_learning,1,0.022744385
Routing,Computer,1,0.009267744
