A,B,result,RefD
Quantum_computer,Computational_complexity_theory,1,0.069381669
Prediction,Recurrence_relation,0,0.003783752
Divide_and_conquer_algorithm,SQL,0,0.01649068
Computer_science,Graph_theory,1,-0.235921099
Web_service,Support_vector_machine,0,0.0
Scientific_visualization,Newton's_method,0,0.002945539
Genetic_algorithm,Cloud_computing,0,-0.000992413
Computer_simulation,Kinematics,0,-0.009231054
Abstraction_(computer_science),Reinforcement_learning,0,0.020057228
Computer_vision,Artificial_intelligence,1,0.239632356
Lisp_(programming_language),Robot,0,0.001195359
Game_theory,Mathematical_model,1,-0.11293466
Random_graph,Stochastic,0,-0.006692808
Formal_language,String_(computer_science),1,-0.064094882
Reason,Gradient_descent,0,0.000704678
Congestion_control,B-tree,0,0.0
Dynamic_memory_allocation,Operating_system,1,0.363324815
Object-oriented_programming,Embedded_system,0,0.003713688
Artificial_intelligence,Application_programming_interface,0,-0.058871964
First-order_logic,Control_flow,0,0.001272719
Fourier_analysis,Application_programming_interface,0,0.0
Monte_Carlo_method,Algorithm,1,0.02238388
Robotics,Computer_programming,1,-0.021627223
Syntax,Computer_programming,0,-0.01503495
Virtual_reality,Amortized_analysis,0,-0.029576049
Round-off_error,Numerical_analysis,1,0.281093334
Big_data,Monte_Carlo_method,0,0.00488966
Mathematical_optimization,Logic_programming,0,-0.019036172
Unsupervised_learning,Robotics,0,0.077041402
Image_analysis,Software_development,0,0.002636675
Cryptography,Rendering_(computer_graphics),0,-0.105106818
Machine_learning,Computer_science,1,-0.120130835
Formal_methods,Autonomous_robot,0,-0.016930341
Mathematical_model,Digital_electronics,0,0.00339561
Communication,Object-oriented_programming,0,-0.00330887
Motion_capture,Computer_graphics,1,0.024170774
3D_computer_graphics,Image_processing,1,0.010943681
Theoretical_computer_science,Computation,1,-0.084283775
Computer_simulation,Wireless_sensor_network,0,0.003473788
Design_of_experiments,Complexity,0,-0.021855532
Automata_theory,Programming_language,0,0.065114266
Variable_(computer_science),Program_optimization,0,-0.029907929
Query_optimization,SQL,1,0.318324938
List_of_undecidable_problems,Congestion_control,0,0.0
Graphical_user_interface,Calculus,0,-0.001963682
Server_(computing),Shortest_path_problem,0,-0.004093186
Recursion,Logic,1,0.365198192
Modular_arithmetic,Discrete_mathematics,1,-0.034149021
Complexity,Mathematics,1,0.264187683
Coding_theory,User_interface,0,-0.016271607
Support_vector_machine,Semantics,0,0.003779787
Query_optimization,Finite_difference,0,0.0
World_Wide_Web,Computer_simulation,0,-0.048344053
Quantum_cryptography,Relational_algebra,0,0.0
MapReduce,Variable_(computer_science),0,0.003225535
Transaction_processing,Concurrency_control,1,0.046234393
SQL,Computer_programming,1,-0.051527436
Complexity,Expert_system,0,-0.001478695
Superscalar,Denotational_semantics,0,0.001956346
Database_design,Human-computer_interaction,0,-0.010121773
Big_data,Communications_protocol,0,-0.010311989
Social_network,Parsing,0,0.001080055
Computational_complexity_theory,Message_passing,0,-0.020301813
Performance_tuning,Complexity_class,0,0.0
Network_security,Expected_value,0,0.005731788
Spanning_tree,Suffix_tree,0,0.0
Microcode,Linear_algebra,0,0.008618934
Algorithm,Integer,1,0.061223783
Wavelet,Flow_network,0,0.0
Cluster_analysis,Communication,0,0.003759091
Cache_coherence,Probability_theory,0,0.0
Debugging,Computer_programming,1,-0.01861446
Central_processing_unit,Variable_(computer_science),0,-0.072948788
Pushdown_automaton,Automata_theory,1,0.423673082
Kernel_(computing),Generic_programming,0,0.021144111
Very_long_instruction_word,Lisp_(programming_language),0,0.010871365
Scope_(computer_science),Computer_programming,1,0.170110933
Machine_learning,Artificial_intelligence,1,0.13739716
Geometry,Statistics,0,0.07116264
Array_data_structure,Ordinary_differential_equation,0,0.005456993
Imperative_programming,Computer,1,0.013356446
Parsing,Programming_language,1,0.152406698
Database_normalization,Packet_switching,0,0.0
Round-off_error,Computer_simulation,0,0.028223822
Machine_learning,Probability,1,0.043967415
Complexity_class,Computational_complexity_theory,1,0.32337629
Poisson_distribution,Probability_theory,1,0.135721589
Inference,Probability,1,0.029118932
Computer_science,Computer,1,0.055717655
Flow_network,Algorithm_design,0,0.027948543
Natural_language,Embedded_system,0,-0.006859711
Compiler_optimization,Prediction,0,0.0
MATLAB,Flow_network,0,0.0
Combinational_logic,Information_assurance,0,0.0
Numerical_analysis,Floating_point,1,-0.021388975
Statistical_hypothesis_testing,Statistical_inference,1,-0.090868071
Visualization_(computer_graphics),Mathematics,1,0.065935137
Fast_Fourier_transform,Inter-process_communication,0,-0.003462029
Random_variable,System_programming,0,-0.013251682
Machine_translation,NP_(complexity),0,0.0
Number_theory,Ordinary_differential_equation,0,-0.044077173
Multi-core_processor,Game_theory,0,0.000685108
Randomized_algorithm,Conditional_probability,1,0.01562381
Large_deviations_theory,Wavelet,0,0.028335759
Computer_network,Web_server,0,-0.109507574
C++,Input/output,0,-0.067151212
Ray_tracing_(graphics),Profiling_(computer_programming),0,0.003073184
Formal_grammar,Modular_programming,0,-0.025656968
Prolog,Web_server,0,0.008518482
Inheritance_(object-oriented_programming),Fast_Fourier_transform,0,-0.008232488
Algorithm,Mathematics,1,0.146581374
Variable_(computer_science),Scheduling_(computing),0,-0.000262781
Question_answering,Introduction_to_Algorithms,0,0.0
Foundations_of_mathematics,Artificial_intelligence,0,0.049798661
Undecidable_problem,Context-free_language,0,-0.090979275
Polymorphism_(computer_science),Programming_language,1,0.303596663
Object-oriented_programming,Data,1,0.007385722
Cryptography,Mathematical_proof,1,-0.024588988
Query_optimization,Index_(database),1,0.043668058
Cloud_computing,Operating_system,0,0.147818944
Pushdown_automaton,Atomicity_(database_systems),0,0.0
Continuous_function,Kernel_(computing),0,0.0
Computer_security,Processor_register,0,-0.014513093
Computational_geometry,Stochastic,0,-0.030987143
Programming_language,Computer_programming,1,-0.186405143
Prolog,Parallel_algorithm,0,-0.016737178
Network_security,Security,1,-0.05478427
Combinatorics,Algebra,1,0.00331308
Natural_language_processing,Assembly_language,0,-0.037056691
Object_(computer_science),String_(computer_science),0,0.159885451
Syntax,Deadlock,0,-0.009539975
Malware,Computer_security,1,0.183897795
Computer_architecture,Authentication,0,0.01401601
Database_design,Robotics,0,0.009124279
Rendering_(computer_graphics),Computer_graphics,1,0.315011967
Parallel_computing,Shared_memory,1,-0.308322733
Quantum_mechanics,Continuous_function,1,-0.041742813
Partial_differential_equation,Mathematics,1,0.38471224
Decision_theory,Computational_geometry,0,-0.093564506
Public-key_cryptography,Traffic_analysis,0,-0.038535934
Finite-state_machine,Logic,1,0.05891692
Dynamic_programming,Algorithm_design,1,0.150313759
Graph_theory,Lexical_analysis,0,0.013925314
Memory_hierarchy,Computer_architecture,1,-0.052820762
Memory_management,Combinational_logic,0,0.011175992
Mathematical_optimization,Random_variable,1,0.018687182
SQL,Computer_science,1,0.007014349
Congestion_control,Logic_programming,0,0.004482701
Autonomous_robot,Introduction_to_Algorithms,0,0.0
Boundary_value_problem,Iterative_method,0,-0.00955953
Divide_and_conquer_algorithm,Wireless_sensor_network,0,0.0
Ray_tracing_(graphics),Rendering_(computer_graphics),1,0.160630365
Random_walk,Graph_theory,1,0.042675399
Application_programming_interface,Computer_programming,1,0.063802398
Polymorphism_(computer_science),Database_management_system,0,0.032331353
Computation,Statistical_inference,0,-0.001483314
Authentication,Information_security,1,0.194596421
Integral,Mathematics,1,0.399552002
Ordinary_differential_equation,Nonlinear_system,1,-0.286372936
Amortized_analysis,Finite_element_method,0,0.0
Superscalar,Lexical_semantics,0,0.0
Embedded_system,Microprocessor,1,-0.304481401
Graphical_model,Probability_theory,1,0.02026466
Computational_complexity_theory,Discrete_mathematics,1,-0.141178137
String_(computer_science),Computer_programming,1,0.04319733
Probability,Graph_theory,0,-0.086231142
Operating_system,Random_graph,0,-0.002726828
Abstraction_(computer_science),Finite_set,0,0.012604169
Algebra,Arithmetic,1,0.047684814
Theory_of_computation,Arithmetic,0,0.084603979
Computability,Computer_science,1,0.360371733
Computer_programming,Logic,1,0.03524482
Ray_tracing_(graphics),Computational_geometry,1,0.033873803
Turing_machine,Theory_of_computation,1,-0.140557724
Bioinformatics,Pipeline_(computing),0,-0.005402671
Firewall_(computing),Functional_programming,0,-0.00646421
Exponential_family,SQL,0,0.002435733
Functional_programming,Variable_(computer_science),1,-0.096493597
Computability,Nonlinear_system,0,0.0
Rendering_(computer_graphics),Computer,1,0.02366149
Dynamic_memory_allocation,Peer-to-peer,0,0.004635142
Software_engineering,Theory_of_computation,1,-0.129477883
Database_transaction,Computability,0,0.0
Polynomial,Mathematics,1,0.449067747
Web_service,Inter-process_communication,0,0.018627281
Symbol_table,Iterative_method,0,0.0
Computational_problem,Graphical_user_interface,0,0.0
Graph_theory,Computational_science,1,-0.054322817
Hidden_Markov_model,Probability,1,0.123943498
Autonomous_robot,Robotics,1,0.289221093
Virtual_memory,Operating_system,1,0.1526306
Image_processing,Computer_programming,1,-0.001926979
Software_framework,Computer_programming,1,-0.061069049
Database_design,Graphical_user_interface,0,0.002215539
Parsing,Lexical_analysis,1,-0.333677133
Relational_model,Flow_network,0,0.0
Network_security,Computer_network,1,0.092730874
Prolog,Logic_programming,1,-0.119391879
Program_optimization,Spanning_tree,0,0.0
Hidden_Markov_model,Rendering_(computer_graphics),0,0.000877567
Routing,OSI_model,1,0.029843463
Programming_paradigm,Neural_network,0,0.041301649
Computational_geometry,Computer_science,1,0.150213383
Recursion_(computer_science),Queue_(data_structure),0,0.013628258
Graphical_model,Statistical_inference,1,0.019427766
Peer-to-peer,Computer_network,1,0.159545009
Mathematical_optimization,Lazy_evaluation,0,-0.01119708
Analysis_of_algorithms,Finite_element_method,0,-0.00175629
Shortest_path_problem,Graph_theory,1,0.096878244
Program_analysis,Computer_science,1,0.392641374
Scope_(computer_science),Programming_language,1,0.362059481
Cryptography,Computational_complexity_theory,1,-0.167246579
Array_data_structure,Data_structure,1,0.137543703
Index_(database),Database,1,0.42612453
Monte_Carlo_method,Instruction_set,0,-0.001949428
Formal_language,Computer_science,1,-0.051724502
Malware,Computer_network,1,0.100820559
Cryptography,Mathematics,1,-0.050884001
Queue_(data_structure),Mobile_device,0,0.0
Software_design,Programming_language,1,-0.126400442
Matrix_(mathematics),Computer_vision,0,0.111409466
Query_optimization,Database,1,0.472550149
Analysis_of_algorithms,Computational_complexity_theory,1,0.229124895
Neural_network,Algorithm,1,0.048948028
Mathematical_optimization,Matrix_(mathematics),1,0.0341639
Computational_learning_theory,Probability,1,0.058301
Estimation_theory,Statistical_inference,1,0.065567657
Virtual_reality,Formal_verification,0,-0.029104373
Concurrency_control,Database_management_system,1,0.424898758
Round-off_error,Randomization,0,-0.001818663
Martingale_(probability_theory),Markov_chain,1,0.276121127
Congestion_control,Security,0,0.0
Object_(computer_science),Kalman_filter,0,0.0
Symmetric_multiprocessing,Martingale_(probability_theory),0,0.0
Computer_multitasking,Query_optimization,0,-0.028190298
Data_mining,Programming_language,1,-0.009538734
Formal_methods,Analysis_of_algorithms,1,-0.085233369
Graphical_model,Data,1,-0.357281726
Database_management_system,Mutual_exclusion,0,-0.036938538
Cryptanalysis,Cryptography,1,0.009186855
Imperative_programming,Computer_science,1,0.221594853
Decision_theory,Computing,0,-0.051131291
Communications_protocol,Synchronization,1,-0.000372498
Support_vector_machine,Algorithm,1,0.100453598
Artificial_intelligence,Computational_complexity_theory,1,-0.155304807
Boundary_value_problem,Quantum_cryptography,0,-0.001414865
Inter-process_communication,Operating_system,1,-0.03324004
Traffic_analysis,Array_data_structure,0,-0.002345659
Automatic_programming,Computer_science,1,0.267443271
Computational_problem,Computer_science,1,0.286025711
Object-oriented_programming,Computer_science,1,0.081052133
Analysis_of_algorithms,Introduction_to_Algorithms,1,-0.075849866
Digital_electronics,Programming_language,0,0.017127585
Database_system,Database,1,0.0
Scheduling_(computing),Computing,1,0.049213968
Divide_and_conquer_algorithm,Modular_arithmetic,0,0.04700842
Sequence_alignment,Feature_extraction,0,-0.017781855
Linear_programming,Graphical_model,0,0.00266651
Correlation_and_dependence,Hidden_Markov_model,0,0.021857186
Polynomial,Integer,1,0.238065235
Semantics,Computer_science,0,0.068944435
Computer_vision,Computer_science,1,-0.148284572
Machine_learning,Computational_complexity_theory,1,-0.081543014
Central_processing_unit,Unix,0,-0.081451868
Recursion_(computer_science),Programming_language,1,0.122637411
Transaction_processing,Computer_science,1,0.063388109
Analysis_of_algorithms,Combinatorics,1,-0.140881631
Least_squares,Exponential_family,0,0.418083656
Algorithm_design,Algorithm,1,0.0
Application_programming_interface,Formal_methods,0,0.043979529
Vector_processor,Interface_(computing),0,0.012850661
Control_flow,Microcode,0,-0.009207255
Communication,Programming_paradigm,0,-0.016412611
Signal_processing,Probability,1,0.017771936
Randomized_algorithm,Social_network,0,-0.009437726
Object-oriented_programming,Very_long_instruction_word,0,-0.009525326
Transaction_processing,Software_engineering,0,0.021486394
Time_complexity,Computer_science,1,0.249286836
Denotational_semantics,Large_deviations_theory,0,0.0
Linear_programming,Algorithm,1,0.109124826
Finite_difference,Web_service,0,0.0
Firewall_(computing),Application_programming_interface,0,0.032870174
Object-oriented_programming,Parsing,0,-0.000862831
PSPACE,Turing_machine,1,0.28773515
Mathematical_optimization,Arithmetic,1,-0.023010786
Design_of_experiments,Scientific_visualization,0,-0.003502352
Computer_simulation,Memory_management,0,0.007774343
Lexical_analysis,Probability_theory,0,0.0
Garbage_collection_(computer_science),Generic_programming,0,-0.034396745
Polynomial,Halting_problem,0,-0.003250695
Approximation_algorithm,Computer_science,1,0.194818269
Security,MATLAB,0,0.0
Relational_database,Poisson_distribution,0,0.0
Computer_security,Security,1,-0.125341271
System_programming,Computer,1,0.09592073
Variable_(computer_science),Programming_language,1,0.372199075
Statistical_hypothesis_testing,Motion_capture,0,-0.001954069
Cryptanalysis,Mathematics,1,0.069149878
Data_(computing),Randomized_algorithm,0,0.0155256
Interaction_design,User_interface,1,-0.143457694
File_system,Operating_system,1,0.246911427
Probability_theory,Lexical_analysis,0,0.0
Cryptography,Computer_security,1,-0.077825103
Embedded_system,Relational_algebra,0,-0.015122758
Quantum_computer,Procedural_programming,0,-0.004192639
Personal_computer,Graph_theory,0,-0.012981552
Java_(programming_language),Compiler,1,-0.026001685
Newton's_method,Sentiment_analysis,0,-0.002570991
Turing_machine,Automata_theory,1,0.316775755
Stochastic_process,Randomness,1,-0.051947212
Time_complexity,Computational_complexity_theory,1,0.322972214
C_(programming_language),Social_network,0,-0.002879586
Analysis_of_algorithms,Data_(computing),0,0.022503702
Computational_complexity_theory,Algorithm_design,1,0.189828923
Recursion,Algorithm,1,0.040636041
Scripting_language,Graphics_processing_unit,0,0.049281179
Pushdown_automaton,Computer_science,1,0.293141533
Ordinary_differential_equation,Mathematics,1,0.403017679
Artificial_intelligence,Logic,1,-0.010922504
Software_development,Software_engineering,1,0.310302294
Correlation_and_dependence,Theoretical_computer_science,0,-0.007109509
System_programming,Probability,0,0.035751366
Probability_theory,Scientific_modelling,0,-0.01600823
Regular_language,Calculus_of_variations,0,0.004380219
Firewall_(computing),Computer_security,1,0.20540469
Multiplication,Wavelet,0,0.014028015
Reinforcement_learning,Statistical_hypothesis_testing,0,0.025340924
Relational_algebra,Memory_management,0,0.0
Central_processing_unit,Computer_architecture,1,0.16607596
Application_programming_interface,Automata_theory,0,0.033723051
Tensor,Fast_Fourier_transform,0,-0.022453055
Relational_database,Estimation_theory,0,0.0
Asymptotic_analysis,User_interface_design,0,0.0
Firewall_(computing),Information_security,1,0.218086679
Database_management_system,Kinematics,0,0.001235993
Model_checking,Mechanical_engineering,0,-0.001269555
Cryptographic_hash_function,Cryptography,1,-0.046213564
Polynomial,Array_data_structure,0,-0.011960996
Scripting_language,Programming_language,1,0.273883752
